Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-13.63841198590315,2.107421770519292,0.7842997031628539,0.02575973225982062,1.7395387548037364e-10,24.16150034718608,1941113041.1343474
13.63841198590315-20.457617978854728,2.3127595634165483,1.0166262554884156,0.015681484118239362,1.1621413387197574e-10,36.915241203203784,1164873446.0600154
20.457617978854728-27.2768239718063,2.32438950801126,0.9731613602048176,0.012257463936529664,9.129580710614742e-11,43.72285275535436,1782045346.618412
27.2768239718063-34.096029964757875,2.4785001803311553,0.9293252979275433,0.010079022256072174,8.004766367652662e-11,53.11820027360429,5266434742.293847
34.096029964757875-40.915235957709456,2.564542043464902,0.8996926720637685,0.008455977663450383,6.948882245349079e-11,61.78749741133316,3335973093.859386
40.915235957709456-47.73444195066103,2.621664679878066,0.9622587457494481,0.006882158569845106,5.781534476493711e-11,72.4592820427687,3873584509.4730706
47.73444195066103-54.5536479436126,2.643136217570437,0.8292278522456963,0.006028748637127289,5.106084812701322e-11,79.793606461862,4552405333.142877
54.5536479436126-61.37285393656418,2.942710363236712,0.8818080717244855,0.005133316248659308,4.8404622914986657e-11,98.88919424005014,5541314119.976554
61.37285393656418-68.19205992951575,2.930022578850884,0.8956968920213381,0.004561771937362943,4.2829779456557186e-11,106.5242751167559,6123240587.506038
68.19205992951575-75.01126592246733,2.9979551557434947,0.8184933532772617,0.00421172970194906,4.046009755331689e-11,114.95242512946665,15312291222.982943
75.01126592246733-81.83047191541891,2.6346134756922686,0.7116662890492157,0.00389699129137152,3.289937487365017e-11,106.38913683120441,15825857809.677738
81.83047191541891-88.64967790837049,3.1660438193001874,0.9231195774642353,0.003428578422967529,3.478342240880054e-11,139.24326439664478,19263753212.143562
88.64967790837049-95.46888390132206,3.1258893155161096,0.7133847720197025,0.003038067505625405,3.043072626769826e-11,149.01911606094438,8781442024.082579
95.46888390132206-102.28808989427364,3.7242043525778814,0.7699950971978836,0.0027374896012233307,3.266835627384011e-11,190.3115667376981,28548823887.513435
102.28808989427364-109.1072958872252,3.998192221855722,0.6578854092398282,0.002604138294030345,3.336330115610919e-11,211.2293717437504,12690258683.21469
109.1072958872252-115.92650188017679,3.787885327641272,0.7283021646724749,0.002378470176003552,2.8869272165281022e-11,212.58454252933026,12442970915.62776
115.92650188017679-122.74570787312835,3.754770267503605,0.5268525752796285,0.002207148482184161,2.655560637275291e-11,221.4941888444331,12874724026.633583
122.74570787312835-129.56491386607993,4.260186653107236,0.6661790605326265,0.0020869039897313244,2.8488684693064705e-11,260.87170772930676,42807265753.24756
129.56491386607993-136.3841198590315,4.101807480048541,0.5689710664832642,0.0019640868976166315,2.58153057455401e-11,261.53800526378126,15539216303.817352
136.3841198590315-143.2033258519831,4.52546811864634,0.6205108897918528,0.0018062870204752861,2.619338176096779e-11,305.1211661554237,17425002693.213646
143.2033258519831-150.02253184493466,4.175480141871493,0.6899004910474561,0.0016927339289758688,2.264834247822449e-11,293.9774080001238,16572158536.956352
150.02253184493466-156.84173783788623,4.134311202583065,0.4655891008060594,0.0016516386239881476,2.1880613582440618e-11,295.88740383747694,17534099428.427193
156.84173783788623-163.66094383083782,4.597458627729618,0.44610796565417155,0.0015592212227577456,2.2970310666016655e-11,341.910683738144,64188933021.47652
163.66094383083782-170.4801498237894,4.670633420003402,0.6296617301299554,0.0014857830821136478,2.223681040802145e-11,358.70616696048086,65884679500.831474
170.4801498237894-177.29935581674098,5.048652525559486,0.6257200700155847,0.0013916000224375009,2.251288797077254e-11,405.04119585852754,74174048122.16869
177.29935581674098-190.93776780264412,4.8711323198223315,0.39930028335203854,0.0013425034486087872,2.0954950473621486e-11,400.2699499928839,82583612542.69682
190.93776780264412-204.57617978854728,4.7294589354964245,0.5139072287744454,0.0011894098818405437,1.8025374775887482e-11,421.29900236155237,88904465351.63887
204.57617978854728-218.2145917744504,4.701648380475339,0.5233839871257535,0.0011232194689528865,1.6922170676653717e-11,435.1180153987499,93953625376.76854
218.2145917744504-231.85300376035357,5.097734279287549,0.4179913451558728,0.0010654836211321675,1.7404649182662076e-11,488.6666213705095,60012747764.94471
231.85300376035357-245.4914157462567,4.973997949558121,0.581146343220985,0.0009405835406254185,1.499147201609536e-11,518.1323222976306,112091249682.48776
245.4914157462567-259.12982773215987,4.769496051465294,0.371473315900651,0.0008961711293606421,1.3696346802483225e-11,513.1116332413384,59365122644.68341
259.12982773215987-272.768239718063,5.166451145398311,0.4085660747678646,0.0008412799064242739,1.3927531357165672e-11,579.73828698044,138751386233.6562
272.768239718063-286.4066517039662,5.160439921980176,0.9519105050570014,0.0007413506877118232,1.2258906225364603e-11,629.9957163757402,136837326900.69405
286.4066517039662-300.0450636898693,5.7854756454546035,0.7155031495391887,0.0007108848921502848,1.3178914976346625e-11,726.339305839752,166335348972.97998
300.0450636898693-313.68347567577246,5.67062487931644,0.7811788915795227,0.0006493422244125948,1.1799018041537205e-11,756.2205750705738,169533240807.97342
313.68347567577246-327.32188766167565,4.961535308514777,0.5440526682786774,0.0006209958707132731,9.87293096996848e-12,681.642945999641,168923102026.84494
