Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-15.066688597209945,4.708541646076108,1.0617811995341797,0.024386025367847147,3.6793299789156223e-10,55.99196837203657,3810019679.514206
15.066688597209945-24.106701755535916,3.8374803567470663,0.6995646687081885,0.014408955641350916,1.7718215175902097e-10,64.80738469793818,6360045849.037327
24.106701755535916-37.666721493024866,4.331352216349625,1.0009668602926631,0.007156925635707593,9.9332486648824e-11,116.62880647464424,12587295570.41229
37.666721493024866-61.77342324856078,6.379702125090629,0.72402743174764,0.0033833251383589428,6.916484992486277e-11,283.07699571208354,38171439147.28999
