Region,Temperature,Temp_min,Temp_max,Abundance,Ab_min,Ab_max,Norm,Norm_min,Norm_max,Flux,ReducedChiSquare 
0.0-15.066688597209945,4.30281732053368,-0.40572432554242804,0.40572432554242804,0.825971375151254,-0.23580982438292575,0.23580982438292575,0.0009702903882350106,-6.523162277390708e-05,6.523162277390708e-05,-12.0,0.8260731950105712
15.066688597209945-24.106701755535916,3.5202093486426724,-0.3172710081043938,0.3172710081043938,0.5406707160546154,-0.15889395265357315,0.15889395265357315,0.0010515695847669764,-6.772203692861869e-05,6.772203692861869e-05,-12.049080843011263,0.7783766652127311
24.106701755535916-37.666721493024866,4.057304854077882,-0.27404736227174303,0.27404736227174303,0.7942986367076794,-0.2066682235849838,0.2066682235849838,0.000965253538211395,-6.305144574509393e-05,6.305144574509393e-05,-12.025891003690933,0.7138056439475601
37.666721493024866-61.77342324856078,5.700420639380579,-0.6792814857100501,0.6792814857100501,0.5269248498346353,-0.19710258191300467,0.19710258191300467,0.0010081670551244867,-5.416278019680245e-05,5.416278019680245e-05,-12.0,0.7621632136703645
