Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-15.066688597209945,3.897092994991252,0.5901615507683282,0.022798157169476273,2.846962944407147e-10,48.470139960531306,2948086990.6199
15.066688597209945-24.106701755535916,3.2029383405382785,0.3817767634010422,0.01350904914632027,1.3864833597623195e-10,56.46752122064114,4976854411.955016
24.106701755535916-37.666721493024866,3.7832574918061392,0.5876304131226956,0.006703744433102045,8.126895060128308e-11,106.41126381510644,10298305583.873112
37.666721493024866-61.77342324856078,5.0211391536705285,0.3298222679216306,0.0032061896412344483,5.1586108331554277e-11,230.92774761649704,28469894710.42853
