Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-15.066688597209945,4.30281732053368,0.825971375151254,0.023605446443198518,3.254666010749513e-10,52.28913158365009,3370271658.7698627
15.066688597209945-24.106701755535916,3.5202093486426724,0.5406707160546154,0.013966252387668548,1.5753957872231808e-10,60.69905101860992,5654965433.960281
24.106701755535916-37.666721493024866,4.057304854077882,0.7942986367076794,0.0069340382887389355,9.014988515466326e-11,111.57840534203987,11423687137.645052
37.666721493024866-61.77342324856078,5.700420639380579,0.5269248498346353,0.0032959475881308127,6.020443743881964e-11,257.3870580350958,33226270606.95225
